universe,sample,family,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
pool,OOS,pmarp_combo,pmarp_up2_accept_down98_recent3,60,40,25,0.23472870218639727,0.011696879027266238,0.52,1.4654985202332373,0.15576435858205334,0.3115287171641067
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_same_day,30,116,36,0.06729828221281466,-0.023480444819667295,0.4444444444444444,0.7727038139202239,0.44488474463480954,0.5964550786997046
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_same_day,60,111,32,0.23754581352223603,0.007219113698917146,0.53125,1.7838336709344749,0.08424360726481772,0.2106090181620443
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_recent3,30,135,48,0.028974700920784108,-0.031318572053669794,0.4375,0.407592137911307,0.6854238022019242,0.7615820024465825
pool,OOS,pmarp_combo,pmarp_up2_accept_highturn_recent3,60,125,40,0.2595569145281641,0.01647456018453808,0.55,2.028938159324104,0.049330420116520717,0.16443473372173573
extended,Full,standalone_bbwp,bbwp_down98_after_downtrend,10,1814,530,0.002500714750540179,0.002263292123628524,0.5245283018867924,1.124009342569968,0.26151885518829643,0.4649224092236381
extended,Full,standalone_bbwp,bbwp_down98_after_downtrend,20,1796,522,0.002016917854052004,-0.0006593229668817452,0.4942528735632184,0.5728959872090985,0.5669622807664398,0.6148136126474042
extended,Full,standalone_bbwp,bbwp_down98_after_downtrend,30,1766,512,0.008101992285468172,0.00228650090196945,0.51953125,1.757432951124646,0.07944281248110911,0.2208534228215414
extended,Full,standalone_bbwp,bbwp_down98_after_downtrend,60,1709,493,0.01633601995650183,0.00821619030911399,0.5354969574036511,2.1015275723608124,0.0361026079866179,0.15362464183348112
extended,Full,standalone_bbwp,bbwp_down98_after_uptrend,10,1634,607,0.002691775797831448,0.003583229475371097,0.5337726523887973,1.169437557247087,0.24268714456742707,0.4649224092236381
extended,Full,standalone_bbwp,bbwp_down98_after_uptrend,20,1628,603,0.0007636020524940182,-0.0009844268514722643,0.49585406301824214,0.24551416743490848,0.8061420148415958,0.8061420148415958
extended,Full,standalone_bbwp,bbwp_down98_after_uptrend,30,1621,599,0.002261480916313035,-0.001244592510903475,0.4958263772954925,0.6023929359756425,0.5471409570281096,0.6148136126474042
extended,Full,standalone_bbwp,bbwp_down98_after_uptrend,60,1546,575,0.008091405023401022,-0.007757587023365524,0.4643478260869565,0.9909944072986407,0.3221058688564512,0.5153693901703219
extended,Full,standalone_bbwp,bbwp_highturn_after_downtrend,10,4756,765,-0.0009465280903492418,0.0005419297004834456,0.5111111111111111,-0.558908773249983,0.5763877618569414,0.6148136126474042
extended,Full,standalone_bbwp,bbwp_highturn_after_downtrend,20,4716,756,0.0023847291677739904,-0.003961074790331708,0.46825396825396826,0.7881290195294965,0.43086861565981394,0.5744914875464185
extended,Full,standalone_bbwp,bbwp_highturn_after_downtrend,30,4649,746,0.003279595974334302,0.003941484705066944,0.5227882037533512,0.9109212003102881,0.3626315283716902,0.527464041267913
extended,Full,standalone_bbwp,bbwp_highturn_after_downtrend,60,4485,719,0.010724542314624039,0.006552840466648698,0.5257301808066759,2.074311764564026,0.03840616045837028,0.15362464183348112
extended,Full,standalone_bbwp,bbwp_highturn_after_uptrend,10,3937,807,0.0037884802237321854,0.002416415111780257,0.5353159851301115,2.0960234450833575,0.03639142024862891,0.15362464183348112
extended,Full,standalone_bbwp,bbwp_highturn_after_uptrend,20,3925,800,0.003639869782132618,-0.0003656505723130194,0.4975,1.4395768345522693,0.1503788163704323,0.34372300884670237
extended,Full,standalone_bbwp,bbwp_highturn_after_uptrend,30,3909,795,0.005314689667014764,0.0033168849589126914,0.5245283018867924,1.736744947546384,0.08282003355807803,0.2208534228215414
extended,Full,standalone_bbwp,bbwp_highturn_after_uptrend,60,3720,765,0.020895363755420383,-0.007170851604725599,0.4797385620915033,2.5999373840380344,0.009504163412036717,0.15206661459258747
extended,Full,pmarp_combo,pmarp_up2_base,30,8216,894,0.010333349716214447,0.0013364277374232612,0.5111856823266219,3.1305740526109465,0.0018013873999634545,0.009006936999817272
extended,Full,pmarp_combo,pmarp_up2_base,60,7829,865,0.029898630822161123,0.015915970228767007,0.5653179190751445,5.405225328963243,8.37754539137191e-08,8.377545391371911e-07
extended,Full,pmarp_combo,pmarp_up2_accept_down98_same_day,30,126,73,0.02599594497261437,0.004048450339296017,0.5205479452054794,0.945284013047095,0.3476754420597727,0.4345943025747159
extended,Full,pmarp_combo,pmarp_up2_accept_down98_same_day,60,119,68,0.07001435560179375,0.017549156306189806,0.6176470588235294,1.598857916851221,0.11455780598947411,0.2255803528061525
extended,Full,pmarp_combo,pmarp_up2_accept_down98_recent3,30,234,122,0.005068131530948184,-0.007268065903273608,0.45081967213114754,0.2668927311292722,0.7900060810336013,0.7900060810336013
extended,Full,pmarp_combo,pmarp_up2_accept_down98_recent3,60,219,113,0.06650886709270512,0.019087372595852803,0.584070796460177,1.7693209548201358,0.07956211619258635,0.19890529048146588
extended,Full,pmarp_combo,pmarp_up2_accept_highturn_same_day,30,533,157,0.01422990469784554,-0.006358868708411292,0.4585987261146497,0.9738109840371351,0.33165797888714543,0.4345943025747159
extended,Full,pmarp_combo,pmarp_up2_accept_highturn_same_day,60,514,148,0.033492303273413494,0.003990472386704308,0.527027027027027,1.5015892987667152,0.1353482116836915,0.2255803528061525
